facility_id,order_id,site_category,location_type,customer_requirements,id,created_date,updated_date,created_by_id,created_by,is_sample
"SITE-SE-01","ORD-2025-001","VIP","Hospital","Minimal Disruption","69236d9468b443af901bb478","2025-11-23T20:24:52.048000","2025-11-28T13:28:17.938000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-02","ORD-2025-002","Medium","Warehouse","Standard","69236d9468b443af901bb479","2025-11-23T20:24:52.048000","2025-11-28T18:12:36.090000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-03","ORD-2025-003","Large","Office Building","After-Hours Work","69236d9468b443af901bb47a","2025-11-23T20:24:52.048000","2025-11-28T13:25:59.330000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-04","ORD-2025-004","Large","Retail Center","After-Hours Work","69236d9468b443af901bb47b","2025-11-23T20:24:52.048000","2025-11-28T13:26:00.702000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-05","ORD-2025-005","VIP","University Campus","Minimal Disruption","69236d9468b443af901bb47c","2025-11-23T20:24:52.048000","2025-11-28T13:26:02.463000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-06","ORD-2025-006","Large","Datacenter","High Security","69236d9468b443af901bb47d","2025-11-23T20:24:52.048000","2025-11-28T13:26:04.053000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-07","ORD-2025-007","Medium","Research Park","Standard","69236d9468b443af901bb47e","2025-11-23T20:24:52.048000","2025-11-28T13:29:00.598000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-08","ORD-2025-008","Small","Retail Store","Standard","69236d9468b443af901bb47f","2025-11-23T20:24:52.048000","2025-11-28T13:29:10.628000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-09","ORD-2025-009","Medium","Residential Complex","Standard","69236d9468b443af901bb480","2025-11-23T20:24:52.048000","2025-11-28T13:29:21.345000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-10","ORD-2025-010","Medium","Government Office","High Security","69236d9468b443af901bb481","2025-11-23T20:24:52.048000","2025-11-28T13:29:32.591000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-11","ORD-2025-011","VIP","Port Authority","High Security","69236d9468b443af901bb482","2025-11-23T20:24:52.048000","2025-11-28T13:29:41.878000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-12","ORD-2025-012","Large","Hospital","Minimal Disruption","69236d9468b443af901bb483","2025-11-23T20:24:52.048000","2025-11-28T13:29:56.012000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-01","ORD-2025-022","Medium","Office","Standard office setup, guest wifi needed","6925ebc0b55351ae63c183bb","2025-11-25T17:47:44.934000","2025-11-28T13:25:54.005000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
"SITE-SE-01","ORD-2025-022","VIP","Office","","692a09ecc997a810a3d6fdb2","2025-11-28T20:45:32.334000","2025-11-28T20:45:32.334000","692342b679f2a6c498963a83","nangfahmaproad@gmail.com","false"
