order_id,facility_id,category,item_description,quantity,unit_price,total_price,supplier,delivery_date,status,id,created_date,is_sample
ORD-2025-01,SITE-SE-01,Hardware,Cisco ISR 1100 Router,1,1200,1200,Cisco Systems,2025-06-15,ordered,LI-001,2025-11-24T10:00:00.000Z,false
ORD-2025-01,SITE-SE-01,Hardware,Fiber Optic Cable (500m),500,2.5,1250,Corning,2025-06-15,ordered,LI-002,2025-11-24T10:00:00.000Z,false
ORD-2025-01,SITE-SE-01,Labor,Installation Labor (8 hours),8,75,600,Internal,2025-06-25,pending,LI-003,2025-11-24T10:00:00.000Z,false
ORD-2025-01,SITE-SE-01,Materials,Fiber Connectors (LC/UPC),20,15,300,Panduit,2025-06-15,ordered,LI-004,2025-11-24T10:00:00.000Z,false
ORD-2025-02,SITE-SE-02,Hardware,Juniper EX2300 Switch,1,850,850,Juniper Networks,2025-06-10,delivered,LI-005,2025-11-24T11:00:00.000Z,false
ORD-2025-02,SITE-SE-02,Hardware,Fiber Patch Panel 24-port,1,320,320,Panduit,2025-06-10,delivered,LI-006,2025-11-24T11:00:00.000Z,false
ORD-2025-02,SITE-SE-02,Labor,NaaS Configuration (4 hours),4,95,380,Internal,2025-06-18,pending,LI-007,2025-11-24T11:00:00.000Z,false
ORD-2025-02,SITE-SE-02,Materials,Cat6 Ethernet Cable (100m),100,1.2,120,Belden,2025-06-10,delivered,LI-008,2025-11-24T11:00:00.000Z,false
ORD-2025-03,SITE-SE-03,Hardware,Cisco Catalyst 9300 Switch,2,2400,4800,Cisco Systems,2025-08-15,delivered,LI-009,2025-11-24T12:00:00.000Z,false
ORD-2025-03,SITE-SE-03,Hardware,Fiber Optic Cable (1000m),1000,2.5,2500,Corning,2025-08-15,delivered,LI-010,2025-11-24T12:00:00.000Z,false
ORD-2025-03,SITE-SE-03,Labor,Installation Labor (12 hours),12,75,900,Internal,2025-08-24,completed,LI-011,2025-11-24T12:00:00.000Z,false
ORD-2025-03,SITE-SE-03,Materials,Fiber Distribution Hub,1,450,450,Corning,2025-08-15,delivered,LI-012,2025-11-24T12:00:00.000Z,false
ORD-2025-04,SITE-SE-04,Hardware,Media Converter 1000Base-T,2,180,360,TP-Link,2025-07-20,in_transit,LI-013,2025-11-24T13:00:00.000Z,false
ORD-2025-04,SITE-SE-04,Hardware,Fiber Optic Cable (300m),300,2.5,750,Corning,2025-07-20,in_transit,LI-014,2025-11-24T13:00:00.000Z,false
ORD-2025-04,SITE-SE-04,Labor,Night Installation (6 hours),6,110,660,Subcontractor,2025-07-24,pending,LI-015,2025-11-24T13:00:00.000Z,false
ORD-2025-04,SITE-SE-04,Materials,Cable Tray System,15,45,675,Legrand,2025-07-20,in_transit,LI-016,2025-11-24T13:00:00.000Z,false
ORD-2025-05,SITE-SE-05,Hardware,Cisco ISR 4331 Router,1,3200,3200,Cisco Systems,2025-07-28,ordered,LI-017,2025-11-24T14:00:00.000Z,false
ORD-2025-05,SITE-SE-05,Hardware,Fiber Optic Cable (400m),400,2.5,1000,Corning,2025-07-28,ordered,LI-018,2025-11-24T14:00:00.000Z,false
ORD-2025-05,SITE-SE-05,Labor,NaaS Installation (10 hours),10,95,950,Internal,2025-08-02,pending,LI-019,2025-11-24T14:00:00.000Z,false
ORD-2025-05,SITE-SE-05,Materials,Indoor Fiber Enclosure,2,280,560,Corning,2025-07-28,ordered,LI-020,2025-11-24T14:00:00.000Z,false
ORD-2025-06,SITE-SE-06,Hardware,HPE Aruba 2930F Switch,1,1100,1100,HPE,2025-08-18,delivered,LI-021,2025-11-24T15:00:00.000Z,false
ORD-2025-06,SITE-SE-06,Hardware,Fiber Optic Cable (250m),250,2.5,625,Corning,2025-08-18,delivered,LI-022,2025-11-24T15:00:00.000Z,false
ORD-2025-06,SITE-SE-06,Labor,Installation Labor (8 hours),8,75,600,Internal,2025-08-22,completed,LI-023,2025-11-24T15:00:00.000Z,false
ORD-2025-06,SITE-SE-06,Materials,Fiber Splice Tray,4,65,260,Corning,2025-08-18,delivered,LI-024,2025-11-24T15:00:00.000Z,false
ORD-2025-07,SITE-SE-07,Hardware,Juniper SRX300 Firewall,1,1450,1450,Juniper Networks,2025-06-12,delivered,LI-025,2025-11-24T16:00:00.000Z,false
ORD-2025-07,SITE-SE-07,Hardware,Fiber Optic Cable (600m),600,2.5,1500,Corning,2025-06-12,delivered,LI-026,2025-11-24T16:00:00.000Z,false
ORD-2025-07,SITE-SE-07,Labor,Traffic Control Setup,1,850,850,Subcontractor,2025-06-17,pending,LI-027,2025-11-24T16:00:00.000Z,false
ORD-2025-07,SITE-SE-07,Materials,Conduit Piping (50m),50,12,600,Legrand,2025-06-12,delivered,LI-028,2025-11-24T16:00:00.000Z,false
ORD-2025-08,SITE-SE-08,Hardware,Cisco Catalyst 9200 Switch,1,1800,1800,Cisco Systems,2025-06-22,delivered,LI-029,2025-11-24T17:00:00.000Z,false
ORD-2025-08,SITE-SE-08,Hardware,Fiber Optic Cable (350m),350,2.5,875,Corning,2025-06-22,delivered,LI-030,2025-11-24T17:00:00.000Z,false
ORD-2025-08,SITE-SE-08,Labor,Installation Labor (7 hours),7,75,525,Internal,2025-06-27,pending,LI-031,2025-11-24T17:00:00.000Z,false
ORD-2025-08,SITE-SE-08,Materials,Facade Mounting Brackets,12,35,420,Hilti,2025-06-22,delivered,LI-032,2025-11-24T17:00:00.000Z,false
ORD-2025-09,SITE-SE-09,Hardware,Cisco ISR 1100 Router,1,1200,1200,Cisco Systems,2025-08-20,ordered,LI-033,2025-11-24T18:00:00.000Z,false
ORD-2025-09,SITE-SE-09,Hardware,Fiber Optic Cable (200m),200,2.5,500,Corning,2025-08-20,ordered,LI-034,2025-11-24T18:00:00.000Z,false
ORD-2025-09,SITE-SE-09,Labor,NaaS Configuration (5 hours),5,95,475,Internal,2025-08-25,pending,LI-035,2025-11-24T18:00:00.000Z,false
ORD-2025-09,SITE-SE-09,Materials,Fiber Connectors (SC/APC),15,18,270,Panduit,2025-08-20,ordered,LI-036,2025-11-24T18:00:00.000Z,false
ORD-2025-10,SITE-SE-10,Hardware,TP-Link TL-SG3428 Switch,1,420,420,TP-Link,2025-06-28,delivered,LI-037,2025-11-24T19:00:00.000Z,false
ORD-2025-10,SITE-SE-10,Hardware,Fiber Optic Cable (450m),450,2.5,1125,Corning,2025-06-28,delivered,LI-038,2025-11-24T19:00:00.000Z,false
ORD-2025-10,SITE-SE-10,Labor,Installation Labor (9 hours),9,75,675,Internal,2025-07-02,pending,LI-039,2025-11-24T19:00:00.000Z,false
ORD-2025-10,SITE-SE-10,Materials,Outdoor Fiber Enclosure,1,520,520,Corning,2025-06-28,delivered,LI-040,2025-11-24T19:00:00.000Z,false
ORD-2025-11,SITE-SE-11,Hardware,Cisco Catalyst 9300 Switch,1,2400,2400,Cisco Systems,2025-07-12,delayed,LI-041,2025-11-24T20:00:00.000Z,false
ORD-2025-11,SITE-SE-11,Hardware,Fiber Optic Cable (800m),800,2.5,2000,Corning,2025-07-12,ordered,LI-042,2025-11-24T20:00:00.000Z,false
ORD-2025-11,SITE-SE-11,Labor,Installation Labor (14 hours),14,75,1050,Internal,2025-07-18,pending,LI-043,2025-11-24T20:00:00.000Z,false
ORD-2025-11,SITE-SE-11,Materials,Fiber Distribution Panel,2,380,760,Panduit,2025-07-12,ordered,LI-044,2025-11-24T20:00:00.000Z,false
ORD-2025-12,SITE-SE-12,Hardware,Juniper EX4300 Switch,1,3800,3800,Juniper Networks,2025-05-28,delivered,LI-045,2025-11-24T21:00:00.000Z,false
ORD-2025-12,SITE-SE-12,Hardware,Fiber Optic Cable (550m),550,2.5,1375,Corning,2025-05-28,delivered,LI-046,2025-11-24T21:00:00.000Z,false
ORD-2025-12,SITE-SE-12,Labor,NaaS Installation (11 hours),11,95,1045,Internal,2025-06-03,pending,LI-047,2025-11-24T21:00:00.000Z,false
ORD-2025-12,SITE-SE-12,Materials,Aerial Cable Hangers,30,22,660,Legrand,2025-05-28,delivered,LI-048,2025-11-24T21:00:00.000Z,false
